"","Reference","Specimen","Type.of.data","AFA","ALA","FAD","LAD","Global.compactness","MD..mm.","MD.Log","Flying","Diving","finest.category","diving.or.not"
"Castor_fiber","Canoville et al. (2017)","MHNL 50.00.0788","",29,29,0,0,0.89,4.4337,0.646766304,0,"0","diving","0"
"Enhydra_lutris","Canoville et al. (2017)","MHNL 50.00.1 023","",29,29,0,0,0.908,6.985,0.84416641,0,"2","diving","2"
"Canis_lupus","Canoville et al. (2017)","p. c. VB","",29,29,0,0,0.612,7.6,0.880813592,0,"0","none","0"
"Panthera_leo_persica","Canoville et al. (2017)","AMNH 54995","",29,29,0,0,0.532,14.5,1.161368002,0,"0","none","0"
"Ursus_maritimus","Canoville et al. (2017)","p. c. VB","",29,29,0,0,0.554,13.43,1.128076013,0,"1","none","0"
"Equus_caballus","Canoville et al. (2017)","MHNL 50.00.2029","",29,29,0,0,0.68,18.23,1.260786669,0,"0","none","0"
"Tapirus_indicus","Canoville et al. (2017)","MHNL 50.00.2038","",29,29,0,0,0.596,20.2,1.305351369,0,"0","diving","0"
"Tapirus_terrestris","Canoville et al. (2017)","ZFMK field no. 418","",29,29,0,0,0.763,15.19,1.181557774,0,"0","diving","0"
"Rhinoceros_sondaicus","Canoville et al. (2017)","MHNL 50.00.2041","",29,29,0,0,0.857,31.78,1.502153893,0,"0","none","0"
"Ceratotherium_simum","Canoville et al. (2017)","AMNH 51855","",29,29,0,0,0.666,55.45,1.74390155,0,"0","none","0"
"Camelus_bactrianus","Canoville et al. (2017)","MHNL 50.00.2066","",29,29,0,0,0.619,42.9033,1.632490698,0,"0","none","0"
"Sus_scrofa","Canoville et al. (2017)","p. c. VB","",29,29,0,0,0.544,12.88,1.109915863,0,"0","none","0"
"Giraffa_camelopardalis","Canoville et al. (2017)","MHNL 50.00.2060","",29,29,0,0,0.553,21.4,1.330413773,0,"0","none","0"
"Bison_bison","Canoville et al. (2017)","MHNL 50.00.2450","",29,29,0,0,0.644,27.1,1.432969291,0,"0","none","0"
"Ovis_aries","Canoville et al. (2017)","p. c. VB","",29,29,0,0,0.621,11.27,1.051923916,0,"0","none","0"
"Hemitragus_jayakari","Canoville et al. (2017)","p. c. VB","",29,29,0,0,0.606,10.56,1.023663918,0,"0","none","0"
"Aepyceros_melampus","Canoville et al. (2017)","p. c. VB","",29,29,0,0,0.669,11.45,1.058805487,0,"0","none","0"
"Cervus_elaphus_canadensis","Canoville et al. (2017)","MHNL 50.00.2211","",29,29,0,0,0.506,20.28,1.307067951,0,"0","none","0"
"Capreolus_capreolus","Canoville et al. (2017)","p. c. VB","",29,29,0,0,0.451,7.89,0.897077003,0,"0","none","0"
"Hippopotamus_amphibius","Canoville et al. (2017)","MHNL 50.00.2123","",29,29,0,0,0.794,46.7136,1.669443338,0,"0","diving","0"
"Choeropsis_liberiensis","Canoville et al. (2017)","AMNH 148452","",29,29,0,0,0.729,16.68,1.222196046,0,"0","diving","0"
"Orcinus_orca","Canoville et al. (2017)","AMNH 34261","",29,29,0,0,0.879,39.38,1.595275712,0,"2","diving","2"
"Lissodelphis_borealis","Canoville et al. (2017)","AMNH 31422","",29,29,0,0,0.743,6.18,0.790988475,0,"2","diving","2"
"Monodon_monoceros","Canoville et al. (2017)","MHNL 50.00.1027","",29,29,0,0,0.736,27.5065,1.439435333,0,"2","diving","2"
"Delphinapterus_leucas","Canoville et al. (2017)","AMNH 34936","",29,29,0,0,0.858,30.77,1.488127496,0,"2","diving","2"
"Behemotops_katsuiei","Hayashi et al. (2013)","AMP 22","",22,22,28.1,23.03,0.859,37.8,1.5774918,0,"2","diving","2"
"Paleoparadoxia_sp","Hayashi et al. (2013)","AMP AK1001","",23,26,23.03,7.25,0.964,42,1.62324929,0,"2","diving","2"
"Ashoroa_laticosta","Hayashi et al. (2013)","AMP 21/UHR 31990","",22,22,28.1,23.03,0.904,31,1.491361694,0,"2","diving","2"
"Desmostylus_hesperus","Hayashi et al. (2013)","UHR18466","",22,25,23.03,11.6,0.611,47.2,1.673941999,0,"2","diving","2"
"Trichechus_manatus","Hayashi et al. (2013)","NSM M 34694","",29,29,0,0,0.994,77.8,1.890979597,0,"2","diving","2"
"Orycteropus_afer","Hayashi et al. (2013)","NSM M 34334","",29,29,0,0,0.563,8.8,0.944482672,0,"0","none","0"
"Capra_aegagrus","Hayashi et al. (2013)","UFGK unnumbered","",29,29,0,0,0.758,11.8,1.071882007,0,"0","none","0"
"Rangifer_tarandus","Hayashi et al. (2013)","IPB M47","",29,29,0,0,0.72,19.2,1.283301229,0,"0","none","0"
"Tremarctos_ornatus","Hayashi et al. (2013)","ZFMK 97.275","",29,29,0,0,0.757,13,1.113943352,0,"0","none","0"
"Basilosaurus","Houssaye et al. (2015)","WH-074","CT scan",20,21,41.2,33.9,0.959,42.9,1.632457292,0,"2","diving","2"
"Dorudon","Houssaye et al. (2015)","UM 101222 (WH-224)","",20,21,41.3,33.9,0.945,23.3,1.367355921,0,"2","diving","2"
"Rodhocetus","Houssaye et al. (2015)","GSP-UM 3012","CT scan",19,20,47.8,37.8,0.912,14.98,1.175511813,0,"2","diving","2"
"Nothosaurus_sp.","Klein et al. (2019)","SMNS 80266","Thin section",2,2,242,237,0.949,12.5,1.096910013,0,"2","diving","2"
"Serpianosaurus","Klein et al. (2019)","PIMUZ T 1565","Thin section",2,2,242,237,0.92,23.9,1.378397901,0,"2","diving","2"
"Neusticosaurus","Klein et al. (2019)","PIMUZ T 4757","Thin section",1,1,247.2,242,0.939,4.42,0.645422269,0,"2","diving","2"
"Ceresiosaurus","Klein et al. (2019)","PIMUZ T 5622","",2,2,242,237,0.941,6.46,0.810232518,0,"2","diving","2"
"Mollesaurus","Talevi & Fernandez (2012)","MOZ 2282","",6,7,171.6,168.4,0.735,39.5,1.596597096,0,"2","diving","2"
"Lourinhanosaurus","Waskow & Mateus (2017)","ML 370","",11,12,155.7,145,0.631,11.3,1.053078443,0,"UNKNOWN","none","0"
"Saltriovenator","Dal Sasso et al. (2018)","MSNM V3664","",4,5,196.5,189.6,0.704,21.3,1.328379603,0,"UNKNOWN","none","0"
"Charcarodontosaurid","Cullen et al. (2020)","MMCh PV 65","",14,15,100.5,89.8,0.805,25.5,1.40654018,0,"UNKNOWN","none","0"
"Alamosaurus","Woodward (2005)","HW-R2","",18,18,72.1,66,0.523,82.6,1.916980047,0,"UNKNOWN","none","0"
"Plateosaurus","Klein & Sander ()","SMNS F 29","Thin section",3,3,227,208.5,0.513,17.1,1.23299611,0,"UNKNOWN","none","0"
"Nanophoca_vitulinoides","Dewaele et al. (2019)","Histos 1935","Thin section",24,25,14.2,11.6,0.998,7.6,0.880813592,0,"2","diving","2"
"Callophoca_obscura","Dewaele et al. (2019)","Histos 170","Thin section",27,27,5.3,3.6,0.727,17,1.230448921,0,"2","diving","2"
"Anseranas_semipalmata","This study","","CT scan",29,29,0,0,0.754,5.03,0.701567985,2,"1","flying","0"
"Anser_fabalis","This study","NHMUK_1895.2.60006","CT scan",29,29,0,0,0.67,5.57,0.745855195,2,"1","flying","0"
"Caloenas_nicobarica","This study","","CT scan",29,29,0,0,0.7,5.38,0.730782276,0,"0","none","0"
"Cygnus_olor","This study","NHMUK","CT scan",29,29,0,0,0.755,5.45,0.736396502,1,"1","flying","0"
"Goura_cristata","This study","UMZC_413B1","CT scan",29,29,0,0,0.527,5.19,0.715167358,2,"0","flying","0"
"Phaenicopterus_roseus","This study","UMZC_346B","CT scan",29,29,0,0,0.732,4.93,0.692846919,2,"1","flying","0"
"Psophia_crepitans","This study","NHMUK_01_010000","CT scan",29,29,0,0,0.628,5.51,0.741151599,2,"0","flying","0"
"Tachyeres_ciconia","This study","","CT scan",29,29,0,0,0.858,6.91,0.839478047,2,"1","flying","0"
"Spinophorosaurus_nigerensis","Houssaye et al. (2016)","Ni 5.40-7ax","",7,8,170.3,166.1,0.68,64.3,1.808210973,0,"UNKNOWN","none","0"
"Apatosaurus_sp","Houssaye et al. (2016)","BYU 145","",11,12,155.7,145,0.8,52.3,1.718501689,0,"UNKNOWN","none","0"
"Diplodocus_sp","Houssaye et al. (2016)","CMC 9932 ","",11,12,155.7,145,0.85,35,1.544068044,0,"UNKNOWN","none","0"
"Brachiosaurus_sp","Houssaye et al. (2016)","FMNH 25107","",11,12,155.7,145,0.84,95,1.977723605,0,"UNKNOWN","none","0"
"Miragaia_longicollum","Houssaye et al. (2016)","ML 433A ","",12,12,152.1,145,0.79,35,1.544068044,0,"UNKNOWN","none","0"
"Mammuthus_primigenius","Houssaye et al. (2016)","ZFMK 98 395","",28,29,3.6,0,0.63,44,1.643452676,0,"0","none","0"
"Ursus_spelaeus","Houssaye et al. (2016)","STIPB M6280 ","",29,29,0,0,0.83,21.5,1.33243846,0,"0","none","0"
"Rhinocerus_unicornis","Houssaye et al. (2016)","MNHN ZM AC 1960-59","",29,29,0,0,0.77,35.6,1.551449998,0,"0","none","0"
"Bison_bonasus","Houssaye et al. (2016)","ZFMK 2010-303","",29,29,0,0,0.48,28.2,1.450249108,0,"0","none","0"
"Lutra_vulgaris","This study","UMZC_K2768","",29,29,0,0,0.882,4.9,0.69019608,0,"2","diving","2"
"Taxidea_taxus","This study","UMZC_K1706","",29,29,0,0,0.694,6.28,0.797959644,0,"0","none","0"
"Baryonyx","This study","BMNH 9951","Thin section",13,13,129.4,127,0.921,42.2,1.625312451,0,"UNKNOWN","UNKNOWN","UNKNOWN"
"Spinosaurus","This study","FSAC-KK 11888","Thin section",14,14,100.5,93.9,0.931,35.1,1.545307116,0,"UNKNOWN","UNKNOWN","UNKNOWN"
"Spinosaurus.1","Nathan et al",NA,"D same as Fabbri Cg scaled by 0.9",14,14,100.5,93.9,0.8379,35.1,1.54531,0,"UNKNOWN","UNKNOWN","UNKNOWN"
"Spinosaurus.2","Nathan et al",NA,"D scaled to adult Cg same as Fabbri",14,14,100.5,93.9,0.931,57.4517,1.7593,0,"UNKNOWN","UNKNOWN","UNKNOWN"
"Spinosaurus.3","Nathan et al",NA,"D scaled to adult Cg scaled by 0.9",14,14,100.5,93.9,0.8379,57.4517,1.7593,0,"UNKNOWN","UNKNOWN","UNKNOWN"
"Baryonyx.1","Nathan et al",NA,"D same as Fabbri Cg scaled by 0.9",13,13,129.4,127,0.8289,42.2,1.62531,0,"UNKNOWN","UNKNOWN","UNKNOWN"
